,STATE,TYPE OF PRODUCER,GENERATION
0,GA,"Electric Generators, Electric Utilities",102646392.0
0,HI,"Combined Heat and Power, Industrial Power",221674.0
0,HI,"Combined Heat and Power, Commercial Power",364607.0
0,HI,"Combined Heat and Power, Electric Power",2294287.0
0,HI,"Electric Generators, Independent Power Producers",1586065.0
0,HI,"Electric Generators, Electric Utilities",4721460.0
0,IA,"Combined Heat and Power, Industrial Power",2065820.0
0,IA,"Combined Heat and Power, Commercial Power",142153.0
0,IA,"Combined Heat and Power, Electric Power",4065.0
0,IA,"Electric Generators, Independent Power Producers",9053749.0
0,IA,"Electric Generators, Electric Utilities",54854479.0
0,ID,"Combined Heat and Power, Industrial Power",549112.0
0,ID,"Combined Heat and Power, Commercial Power",68356.0
0,ID,"Combined Heat and Power, Electric Power",67389.0
0,ID,"Electric Generators, Independent Power Producers",5300045.0
0,ID,"Electric Generators, Electric Utilities",10963688.0
0,IL,"Combined Heat and Power, Industrial Power",2604843.0
0,IL,"Combined Heat and Power, Commercial Power",479423.0
0,IL,"Combined Heat and Power, Electric Power",678169.0
0,IL,"Electric Generators, Independent Power Producers",173647234.0
0,IL,"Electric Generators, Electric Utilities",4449699.0
0,IN,"Combined Heat and Power, Industrial Power",4635236.0
0,IN,"Combined Heat and Power, Commercial Power",252338.0
0,IN,"Combined Heat and Power, Electric Power",7702676.0
0,IN,"Electric Generators, Independent Power Producers",20983341.0
0,IN,"Electric Generators, Electric Utilities",60991576.0
0,KS,"Combined Heat and Power, Industrial Power",227115.0
0,KS,"Combined Heat and Power, Commercial Power",14183.0
0,KS,"Electric Generators, Independent Power Producers",23224603.0
0,KS,"Electric Generators, Electric Utilities",33280052.0
0,KY,"Combined Heat and Power, Industrial Power",488379.0
0,KY,"Electric Generators, Independent Power Producers",590555.0
0,KY,"Electric Generators, Electric Utilities",69475329.0
0,LA,"Combined Heat and Power, Industrial Power",27210836.0
0,LA,"Combined Heat and Power, Commercial Power",178332.0
0,LA,"Combined Heat and Power, Electric Power",2744341.0
0,LA,"Electric Generators, Independent Power Producers",4430822.0
0,LA,"Electric Generators, Electric Utilities",63497633.0
0,MA,"Combined Heat and Power, Industrial Power",205260.0
0,MA,"Combined Heat and Power, Commercial Power",615109.0
0,MA,"Combined Heat and Power, Electric Power",1545819.0
0,MA,"Electric Generators, Independent Power Producers",16524875.0
0,MA,"Electric Generators, Electric Utilities",475936.0
0,MD,"Combined Heat and Power, Industrial Power",48121.0
0,MD,"Combined Heat and Power, Commercial Power",903741.0
0,MD,"Combined Heat and Power, Electric Power",2354505.0
0,MD,"Electric Generators, Independent Power Producers",32941750.0
0,MD,"Electric Generators, Electric Utilities",3471174.0
